feature,training_median
loan_amnt,12000.0
annual_inc,65000.0
dti,17.65
delinq_2yrs,0.0
inq_last_6mths,0.0
mths_since_last_delinq,31.0
mths_since_last_record,70.0
open_acc,11.0
pub_rec,0.0
revol_bal,11369.0
revol_util,53.9
total_acc,23.0
collections_12_mths_ex_med,0.0
mths_since_last_major_derog,43.0
acc_now_delinq,0.0
tot_coll_amt,0.0
tot_cur_bal,78885.0
total_rev_hi_lim,23600.0
acc_open_past_24mths,4.0
avg_cur_bal,7291.0
bc_open_to_buy,4297.0
bc_util,65.6
chargeoff_within_12_mths,0.0
delinq_amnt,0.0
mo_sin_old_il_acct,129.0
mo_sin_old_rev_tl_op,165.0
mo_sin_rcnt_rev_tl_op,8.0
mo_sin_rcnt_tl,5.0
mort_acc,1.0
mths_since_recent_bc,13.0
mths_since_recent_bc_dlq,38.0
mths_since_recent_inq,5.0
mths_since_recent_revol_delinq,33.0
num_accts_ever_120_pd,0.0
num_actv_bc_tl,3.0
num_actv_rev_tl,5.0
num_bc_sats,4.0
num_bc_tl,7.0
num_il_tl,7.0
num_op_rev_tl,7.0
num_rev_accts,13.0
num_rev_tl_bal_gt_0,5.0
num_tl_120dpd_2m,0.0
num_tl_30dpd,0.0
num_tl_90g_dpd_24m,0.0
num_tl_op_past_12m,2.0
pct_tl_nvr_dlq,97.7
percent_bc_gt_75,50.0
pub_rec_bankruptcies,0.0
tax_liens,0.0
tot_hi_cred_lim,109867.5
total_bal_ex_mort,37187.0
total_bc_limit,14700.0
total_il_high_credit_limit,31139.0
fico_score,692.0
credit_history_months,177.0
emp_length_years,6.0
